城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
上海,翱翔?飞越地平线,,0,319,64,上海·上海·上海迪士尼乐园,"121.667917,31.149712","可领取快速通行证。如雷鸟一般在空中翱翔,环游世界著名城市和景观。来一场令人兴奋的飞行,以前所未有的方式见证这个神奇的世界",FALSE,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园内
云南,七彩云南欢乐世界,,0,184,6468,云南·昆明·晋宁县,"102.759278,24.712651",丰富的自然山水资源、旖旎多姿的民族文化,FALSE,云南省昆明市晋宁区晋城镇
云南,云南民族村,4A,3.9,79,2430,云南·昆明·西山区,"102.669319,24.971676",体验云南多个种族的文化沉淀,FALSE,云南省昆明市西山区滇池路1310号
云南,景洪曼听公园,4A,4.3,40,1646,云南·西双版纳·景洪市,"100.814267,21.998503",古老的傣王御花园,FALSE,云南省西双版纳傣族自治州景洪市曼听路35号
云南,中科院西双版纳热带植物园,5A,4.2,75,1366,云南·西双版纳·勐腊县,"101.260734,21.933968",四千余种来自世界各地的热带植物栖居于此,FALSE,云南省西双版纳州勐腊县勐仑镇(近野象谷)
云南,野象谷,4A,5,58,1094,云南·西双版纳·景洪市,"100.865759,22.175621",与憨态可掬的大象漫步在热带雨林,FALSE,云南省西双版纳傣族自治州景洪市勐养镇三岔河
云南,玉龙雪山,5A,4.8,388,974,云南·丽江·玉龙县,"100.270093,27.034011",壮美大雪山，十三座雪峰连绵不绝,FALSE,云南省丽江市玉龙纳西族自治县
云南,西双版纳原始森林公园,4A,4,43,960,云南·西双版纳·景洪市,"100.881258,22.033038",独特的原始热带雨林自然风光融合民族风情,FALSE,云南省西双版纳傣族自治州距景洪市8公里处213国道旁
云南,崇圣寺三塔,5A,4.3,61,646,云南·大理·大理古城,"100.149535,25.710163",大理的标志和象征，来大理不可错过的地方哦,FALSE,云南省大理市大理古城西北两公里的苍山应乐峰下
云南,青鱼湾水上乐园,,0,103,634,云南·昆明,"102.54549,24.851305",感受云南大型水上乐园的乐趣,FALSE,云南省昆明市海口镇小海口收费站右转2公里处
云南,丽江千古情景区,,0,280,542,云南·丽江·玉龙县,"100.226381,26.834458",一生必看的演出,FALSE,云南省丽江市玉龙县玉兴西路
云南,傣族园,4A,5,45,508,云南·西双版纳·景洪市,"100.954223,21.855821",梦回傣族园，聆听另一种文化,FALSE,云南省西双版纳市景洪市勐罕镇橄榄坝
云南,泸沽湖,4A,4.6,70,486,云南·丽江·宁蒗县,"100.799558,27.668458",翠绿如画，身临其境，水天一色，清澈如镜,FALSE,云南丽江市宁蒗彝族自治县东北部永宁乡
云南,苍山国家地质公园,4A,4.4,94.3,484,云南·大理·大理市,"100.175674,25.650175",绝色美景，不去就真的遗憾,FALSE,云南省大理白族自治州大理市漾濞彝族自治县
云南,石林,5A,3.9,178,472,云南·昆明·石林彝族自治县,"103.332585,24.823046",怪石林立，突兀峥嵘，姿态各异,FALSE,云南省昆明市石林彝族自治县境内
云南,东风韵,,0,40,462,云南·红河·弥勒县,"103.405246,24.312697",以文化艺术创意为特色的小镇,FALSE,云南省红河州弥勒市东风农场内
云南,鸡足山,4A,3.5,53,460,云南·大理·大理市,"100.400433,25.958131",享誉南亚、东南亚的佛教圣地,FALSE,云南省大理州宾川县以西约30公里处
云南,噶丹松赞林寺,4A,4.5,90,404,云南·迪庆·香格里拉县,"99.712056,27.86626",寻梦香格里拉，寻找消失的地平线,FALSE,云南省迪庆藏族自治州香格里拉县尼旺路下段
云南,九乡风景名胜区,4A,3.6,60,364,云南·昆明·宜良县,"103.390531,25.073926",九乡溶洞九十九，数完溶洞白了头,FALSE,云南省昆明市宜良县九乡风景名胜区
云南,云南野生动物园,,0,97,344,云南·昆明·盘龙区,"102.795122,25.101678",我国大型野生动物保护研究基地,FALSE,云南省昆明市盘龙区穿金路
云南,西双版纳勐泐文化旅游区,4A,3.8,108,324,云南·西双版纳·景洪市,"100.81375519985,21.969540244135",古代傣王朝的皇家寺院,FALSE,云南省西双版纳州景洪市勐泐大道顶端4路1号
云南,南诏风情岛,4A,3.8,38.7,268,云南·大理·洱源县,"100.198355,25.907885",摄影家梦开始的地方,FALSE,云南省大理白族自治州洱源县环海路双廊镇
云南,七彩云南古滇温泉山庄,,0,185,256,云南·昆明·晋宁县,"102.762433,24.774281",养生、娱乐、美食、住宿、运动集为一体,FALSE,云南省昆明市晋宁县晋城镇新街片区三合村委会
云南,丽江古城,5A,5,28,242,云南·丽江·古城区,"100.240547,26.881159",一座没有城墙的古城，依山傍水，风景秀丽,FALSE,云南省丽江市玉龙纳西族自治县东大街1号
云南,建水小火车,,0,95,228,云南·红河·建水县,"102.837955,23.628677",百年寸轨黄金线，千年古城观光车,FALSE,云南省红河市建水县临安火车站
云南,苍山感通索道,,3.6,94.3,216,云南·大理·大理苍山石门关景区,"100.176432,25.650631","仰望苍山雪峰,俯瞰百里洱海",FALSE,云南省大理市苍山景区感通索道
云南,大理海洋世界,,0,68,214,云南·大理·大理市,"100.322286,25.687156",“大理海洋世界”外观呈蓝色，造型设计为波浪形，总建筑面积约2.4万平方米，其中游览观赏面积超过1.8万平方米。场馆结合云,FALSE,云南省大理白族自治州云南大理北京湾旁
云南,昆明动物园,,3.6,20,212,云南·昆明·五华区,"102.716251,25.060346",花潮、动物、古寺，尤为引人,FALSE,云南省昆明市五华区青年路北段的圆通山
